279.926797	->	181.926797
-76.769171	->	174.769171
-75.251159	->	173.251159
268.792623	->	170.792623
-71.941759	->	169.941759
-71.414784	->	169.414784
-68.590257	->	166.590257
-68.373894	->	166.373894
-63.492703	->	161.492703
-61.687591	->	159.687591
-59.531911	->	157.531911
255.175504	->	157.175504
-58.629903	->	156.629903
251.743485	->	153.743485
-54.653980	->	152.653980
244.902680	->	146.902680
244.565493	->	146.565493
244.078909	->	146.078909
-47.305937	->	145.305937
-42.728305	->	140.728305
236.662169	->	138.662169
-39.113133	->	137.113133
-37.082881	->	135.082881
-33.865289	->	131.865289
229.775015	->	131.775015
227.531962	->	129.531962
-28.014690	->	126.014690
-27.912343	->	125.912343
-19.972984	->	117.972984
-18.866458	->	116.866458
214.585809	->	116.585809
-16.859743	->	114.859743
209.462873	->	111.462873
-12.919352	->	110.919352
208.824572	->	110.824572
-12.567462	->	110.567462
-10.521616	->	108.521616
-9.648494	->	107.648494
-9.248488	->	107.248488
-7.787293	->	105.787293
-7.707296	->	105.707296
203.160228	->	105.160228
202.424012	->	104.424012
200.704397	->	102.704397
197.982648	->	99.982648
197.559633	->	99.559633
197.172623	->	99.172623
-0.878602	->	98.878602
-0.546472	->	98.546472
0.165493	->	97.834507
0.454221	->	97.545779
194.844486	->	96.844486
187.977191	->	89.977191
8.568603	->	89.431397
186.259653	->	88.259653
10.852509	->	87.147491
184.370173	->	86.370173
181.912781	->	83.912781
176.664292	->	78.664292
20.645132	->	77.354868
174.740186	->	76.740186
173.794913	->	75.794913
167.934536	->	69.934536
28.098272	->	69.901728
28.137194	->	69.862806
167.792827	->	69.792827
29.249959	->	68.750041
31.492963	->	66.507037
155.834380	->	57.834380
42.564064	->	55.435936
43.009204	->	54.990796
43.644487	->	54.355513
149.554084	->	51.554084
48.150792	->	49.849208
48.885524	->	49.114476
141.277712	->	43.277712
141.155841	->	43.155841
56.580858	->	41.419142
132.156108	->	34.156108
65.387282	->	32.612718
130.583409	->	32.583409
66.290377	->	31.709623
128.504249	->	30.504249
126.500172	->	28.500172
69.646830	->	28.353170
126.153234	->	28.153234
73.122865	->	24.877135
73.919279	->	24.080721
76.558151	->	21.441849
80.798842	->	17.201158
115.158913	->	17.158913
81.689129	->	16.310871
111.261001	->	13.261001
110.690391	->	12.690391
91.685478	->	6.314522
103.932849	->	5.932849
95.394696	->	2.605304
96.139569	->	1.860431
96.362165	->	1.637835
98.532574	->	0.532574
time taken: 30.010409ms
